21.84|1.37
23.25|2.53
24.49|-0.27
12.50|-1.20
11.63|-0.90
20.00|1.50
21.00|2.14
25.88|1.63
23.45|1.65
24.24|2.00
9.95|-0.70
14.56|0.94
19.90|-1.12
157.88|-1.25
40.25|-2.11
56.75|-1.19
8.43|-2.67
44.25|2.54
51.00|-1.96
44.50|-0.88
36.44|-3.86
8.38|-2.76
11|-1.12
11|1.70
29.50|1.14
15.64|-2.16
48.88|1.89
12.19|-1.54
23.44|0.27
22.69|-3.89
10.26|2.99
35.90|0.42
38.20|-1.4
4.23|1.92
21.47|-1.04
37.06|-1.18
22.20|1.72
19.90|-7
113.80|1.2
76.70|2.1
9.64|0.3
38.90|2.8
18.10|1
32.90|0.84
133.00|2.3
70.10|1.2
14.10|2.38
